"행정구역","2019년01월_남_총인구수","2019년01월_남_연령구간인구수","2019년01월_남_0~9세","2019년01월_남_10~19세","2019년01월_남_20~29세","2019년01월_남_30~39세","2019년01월_남_40~49세","2019년01월_남_50~59세","2019년01월_남_60~69세","2019년01월_남_70~79세","2019년01월_남_80~89세","2019년01월_남_90~99세","2019년01월_남_100세 이상","2019년01월_여_총인구수","2019년01월_여_연령구간인구수","2019년01월_여_0~9세","2019년01월_여_10~19세","2019년01월_여_20~29세","2019년01월_여_30~39세","2019년01월_여_40~49세","2019년01월_여_50~59세","2019년01월_여_60~69세","2019년01월_여_70~79세","2019년01월_여_80~89세","2019년01월_여_90~99세","2019년01월_여_100세 이상"
"경기도 안산시 상록구 해양동(4127153700)","9,578","9,578","805","1,264","1,805","1,117","1,600","1,766","876","286","56","3","0","9,009","9,009","710","1,198","1,434","1,069","1,725","1,728","724","249","142","29","1"
"경기도 안산시 상록구 본오1동(4127154000)","21,217","21,217","1,734","2,503","3,406","2,990","3,999","3,959","1,597","766","249","13","1","20,132","20,132","1,628","2,354","3,040","2,616","3,857","3,448","1,538","1,072","504","74","1"
"경기도 안산시 상록구 본오2동(4127155000)","14,364","14,364","1,019","1,794","2,402","1,746","2,622","2,750","1,223","577","214","17","0","14,587","14,587","967","1,747","2,314","1,649","2,753","2,714","1,150","812","427","52","2"
"경기도 안산시 상록구 본오3동(4127156000)","10,710","10,710","676","1,105","1,808","1,538","1,848","2,107","980","435","197","16","0","10,882","10,882","664","1,063","1,811","1,380","1,886","2,129","912","633","345","59","0"
"경기도 안산시 상록구 부곡동(4127157000)","12,053","12,053","937","1,316","1,961","1,506","2,159","2,514","1,031","445","174","9","1","11,393","11,393","889","1,284","1,716","1,332","2,073","2,087","955","670","338","49","0"
"경기도 안산시 상록구 월피동(4127158000)","21,371","21,371","1,475","2,599","4,028","2,645","3,534","4,361","1,804","666","240","19","0","20,483","20,483","1,378","2,264","3,456","2,331","3,770","4,030","1,637","938","578","96","5"
"경기도 안산시 상록구 성포동(4127159000)","13,795","13,795","1,047","1,660","2,649","1,696","1,814","2,876","1,415","447","162","27","2","14,091","14,091","944","1,504","2,321","1,675","2,358","3,018","1,251","573","369","74","4"
"경기도 안산시 상록구 반월동(4127160000)","9,647","9,647","711","748","1,289","1,382","1,532","1,778","1,327","688","174","16","2","9,379","9,379","682","736","1,107","1,169","1,361","1,812","1,372","730","341","68","1"
"경기도 안산시 상록구 안산동(4127161000)","4,943","4,943","317","452","659","627","813","1,026","690","272","76","10","1","4,568","4,568","316","415","593","497","679","901","642","332","161","28","4"
"경기도 안산시 단원구 (4127300000)","157,095","157,095","11,705","17,748","25,453","22,621","27,510","30,542","14,421","5,271","1,661","151","12","147,349","147,349","11,405","16,342","22,318","19,081","26,796","27,651","12,993","6,407","3,716","598","42"
